k,querytime,nb_threads,knn data structure
1,13.078038,64,kashif (minmax-heap)
5,18.230407,64,kashif (minmax-heap)
10,20.721090,64,kashif (minmax-heap)
50,24.683828,64,kashif (minmax-heap)
100,37.214582,64,kashif (minmax-heap)
500,41.857384,64,kashif (minmax-heap)
1000,47.217440,64,kashif (minmax-heap)
5000,58.040276,64,kashif (minmax-heap)
10000,62.829222,64,kashif (minmax-heap)
50000,73.537400,64,kashif (minmax-heap)
100000,74.100516,64,kashif (minmax-heap)
500000,84.213516,64,kashif (minmax-heap)
1000000,85.488272,64,kashif (minmax-heap)
1,11.433752,64,kashif (minmax-heap)
5,20.454133,64,kashif (minmax-heap)
10,20.454134,64,kashif (minmax-heap)
50,26.394564,64,kashif (minmax-heap)
100,35.004258,64,kashif (minmax-heap)
500,48.907960,64,kashif (minmax-heap)
1000,51.769838,64,kashif (minmax-heap)
5000,58.252818,64,kashif (minmax-heap)
10000,63.933260,64,kashif (minmax-heap)
50000,68.538012,64,kashif (minmax-heap)
100000,75.210024,64,kashif (minmax-heap)
500000,82.017556,64,kashif (minmax-heap)
1000000,83.762520,64,kashif (minmax-heap)
1,13.151017,64,kashif (minmax-heap)
5,23.631211,64,kashif (minmax-heap)
10,23.631212,64,kashif (minmax-heap)
50,29.649630,64,kashif (minmax-heap)
100,36.518791,64,kashif (minmax-heap)
500,46.327224,64,kashif (minmax-heap)
1000,52.745594,64,kashif (minmax-heap)
5000,63.378684,64,kashif (minmax-heap)
10000,67.698098,64,kashif (minmax-heap)
50000,75.255696,64,kashif (minmax-heap)
100000,80.575820,64,kashif (minmax-heap)
500000,88.836644,64,kashif (minmax-heap)
1000000,92.284304,64,kashif (minmax-heap)
1,16.417121,64,kashif (minmax-heap)
5,16.855012,64,kashif (minmax-heap)
10,22.327072,64,kashif (minmax-heap)
50,25.553665,64,kashif (minmax-heap)
100,31.665096,64,kashif (minmax-heap)
500,49.345900,64,kashif (minmax-heap)
1000,53.794352,64,kashif (minmax-heap)
5000,68.063284,64,kashif (minmax-heap)
10000,68.064440,64,kashif (minmax-heap)
50000,74.156548,64,kashif (minmax-heap)
100000,81.288912,64,kashif (minmax-heap)
500000,90.145332,64,kashif (minmax-heap)
1000000,90.758614,64,kashif (minmax-heap)
1,10.674280,64,kashif (minmax-heap)
5,22.031950,64,kashif (minmax-heap)
10,22.031951,64,kashif (minmax-heap)
50,23.831656,64,kashif (minmax-heap)
100,26.892150,64,kashif (minmax-heap)
500,41.857062,64,kashif (minmax-heap)
1000,42.185396,64,kashif (minmax-heap)
5000,51.977364,64,kashif (minmax-heap)
10000,63.407062,64,kashif (minmax-heap)
50000,73.818784,64,kashif (minmax-heap)
100000,77.231792,64,kashif (minmax-heap)
500000,83.478218,64,kashif (minmax-heap)
1000000,94.411696,64,kashif (minmax-heap)
1,11.395549,64,kashif (minmax-heap)
5,15.842491,64,kashif (minmax-heap)
10,15.980234,64,kashif (minmax-heap)
50,15.980248,64,kashif (minmax-heap)
100,18.546008,64,kashif (minmax-heap)
500,26.834682,64,kashif (minmax-heap)
1000,28.872420,64,kashif (minmax-heap)
5000,55.599098,64,kashif (minmax-heap)
10000,58.071266,64,kashif (minmax-heap)
50000,85.414016,64,kashif (minmax-heap)
100000,97.539452,64,kashif (minmax-heap)
500000,112.092056,64,kashif (minmax-heap)
1000000,114.107744,64,kashif (minmax-heap)
1,29.029758,64,kashif (minmax-heap)
5,39.714342,64,kashif (minmax-heap)
10,41.608377,64,kashif (minmax-heap)
50,44.046828,64,kashif (minmax-heap)
100,59.615232,64,kashif (minmax-heap)
500,72.643868,64,kashif (minmax-heap)
1000,74.099960,64,kashif (minmax-heap)
5000,84.635536,64,kashif (minmax-heap)
10000,85.831894,64,kashif (minmax-heap)
50000,87.959108,64,kashif (minmax-heap)
100000,89.709756,64,kashif (minmax-heap)
500000,101.141436,64,kashif (minmax-heap)
1000000,101.173872,64,kashif (minmax-heap)
